feature	score	p-value	#I-out-of-206	#O-out-of-220
,,group_21970	12.3538848742	0.000440069768229	45.0	19.0
,,group_21952	12.3538848742	0.000440069768229	45.0	19.0
PA14_33680,fpvA,group_12081	12.2802610338	0.000457774337119	69.0	124.0
,,group_11709	12.2514795373	0.000464889400874	52.0	24.0
,,group_11701	12.2514795373	0.000464889400874	52.0	24.0
,,group_13818	12.2514795373	0.000464889400874	52.0	24.0
,,group_7165	12.2514795373	0.000464889400874	52.0	24.0
,,group_6416	12.2514795373	0.000464889400874	52.0	24.0
,,group_13821	12.2514795373	0.000464889400874	52.0	24.0
,,group_21073	12.2514795373	0.000464889400874	52.0	24.0
,,group_16673	12.2514795373	0.000464889400874	52.0	24.0
,,yhaV	12.2514795373	0.000464889400874	52.0	24.0
,,group_11706	12.2514795373	0.000464889400874	52.0	24.0
